healthcare_subindustry,stock_count,median_momentum,median_ret_20d,median_ret_60d,above_ma20_pct,above_ma60_pct,group_a_count,overheated_count,industry_rank
中药,37,65.61133900465897,0.09917355371900838,-0.06243931491851107,0.5405405405405406,0.5135135135135135,4,2,1
医美/美妆,3,60.74446963876478,0.07680673354588596,-0.16104579983010125,0.6666666666666666,0.0,0,0,2
零售药房,6,60.525834461871284,0.11180746480817783,-0.11237366558983064,0.6666666666666666,0.3333333333333333,0,2,3
CXO/CDMO,30,54.985954901525645,0.05138268356165432,-0.042906522767909516,0.3333333333333333,0.5333333333333333,3,6,4
医药流通,14,52.807418101848135,0.05479149265589667,-0.0838910425258712,0.21428571428571427,0.2857142857142857,2,0,5
化学制药/创新药,32,51.409690292838924,0.06709360680009424,-0.10533307498339095,0.125,0.21875,1,1,6
生物制品/创新药,28,51.10936010698208,0.09183258665496086,-0.11939300272784809,0.2857142857142857,0.42857142857142855,3,2,7
动保/兽药,2,50.926819507506295,0.029059518367584913,-0.14142970794526616,0.0,0.0,0,0,8
营养品/维生素,3,50.63950229839437,0.005747126436781658,-0.115348236076382,0.6666666666666666,0.0,0,0,9
生物制品/生物科技,20,50.11666625681025,0.06883545497406884,-0.10642491131257392,0.1,0.35,1,1,10
医疗健康其他,1,47.709713839785714,0.004559270516717451,-0.1449614906396166,0.0,0.0,0,0,11
IVD/体外诊断,15,46.574032639981695,0.04445135219148266,-0.1343393995155714,0.26666666666666666,0.13333333333333333,0,1,12
医疗服务,12,46.16500468624717,0.05317979133676043,-0.16225440742807112,0.4166666666666667,0.08333333333333333,0,0,13
血制品,5,45.749891292824316,0.06036147737610298,-0.19316289946699594,0.4,0.0,0,0,14
化学制药/仿制药,11,45.69528972648855,0.0714285714285714,-0.10947654895961301,0.18181818181818182,0.2727272727272727,0,1,15
互联网医疗/医疗IT,9,41.600968261621446,0.02079207920792081,-0.1821184182977279,0.2222222222222222,0.0,0,0,16
医疗包装/其他,1,41.32588851771603,-0.024767801857585203,-0.3211206896551724,0.0,0.0,0,0,17
疫苗,11,39.87523803356572,0.023136246786632286,-0.16431140649273546,0.09090909090909091,0.0,0,0,18
医疗耗材,25,39.27126272956865,0.01930501930501949,-0.16233284216856003,0.28,0.16,0,1,19
原料药,18,38.79108226290414,0.01777025712784397,-0.1360265362733461,0.1111111111111111,0.05555555555555555,1,0,20
医疗器械其他,5,34.053486347179145,0.024930747922437657,-0.16793431805509706,0.2,0.2,0,0,21
医疗设备,22,32.70950403455468,-0.02197463105445785,-0.17306433720412706,0.2727272727272727,0.045454545454545456,0,0,22
